id,name,slug,description,project_type,status,address,city,state,pincode,latitude,longitude,starting_price,total_units,available_units,cover_image,gallery_images,video_url,launch_date,expected_completion,actual_completion,total_floors,total_area_sqft,amenities,blockchain_hash,verified,verification_score,views_count,interested_count,meta_title,meta_description,created_at,updated_at,developer_id,project_videos,qr_code_data
0b12c014-1d00-4abc-9092-cc5e4f3324bf,Elite Towers Phase 15,elite-towers-phase-15-67,"Elite Towers Phase 15 offers premium living with modern amenities in Dwarka, Delhi. Experience luxury and comfort at its best.",residential,completed,"Plot No. 114, Sector 18, Dwarka, Delhi",Delhi,Delhi,508314,28.714199,77.146130,4961792.00,8,8,https://images.unsplash.com/photo-1600210492493-0946911123ea?w=800,"[""https://images.unsplash.com/photo-1599809275671-b5942cabc7a2?w=800"",""https://images.unsplash.com/photo-1600573472591-ee6b68d14c68?w=800"",""https://images.unsplash.com/photo-1600607687644-c7171b42498b?w=800"",""https://images.unsplash.com/photo-1600607687920-4e2a09cf159d?w=800""]",,2024-07-15,2026-10-23,,8,155556.00,"[""Parking"",""Landscaped Gardens"",""Kids Play Area"",""Power Backup"",""24/7 Security"",""Clubhouse""]",,true,81.00,2,0,,,2025-11-09 08:19:51.403287+00,2025-11-09 08:19:51.403309+00,75,[],
0bb4faa3-0337-4205-85dc-27bdfc2e15ea,Green Valley Gardens Phase 1,green-valley-gardens-phase-1-51,"Green Valley Gardens Phase 1 offers premium living with modern amenities in Saket, Delhi. Experience luxury and comfort at its best.",residential,completed,"Plot No. 100, Sector 25, Saket, Delhi",Delhi,Delhi,422267,28.745567,77.122006,6513354.00,0,0,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?w=800,"[""https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?w=800"",""https://images.unsplash.com/photo-1600585154340-be6161a56a0c?w=800"",""https://images.unsplash.com/photo-1599809275671-b5942cabc7a2?w=800""]",,2024-08-18,2027-03-02,,24,87382.00,"[""Lift"",""24/7 Security"",""Swimming Pool"",""Power Backup"",""Kids Play Area""]",,true,94.00,0,0,,,2025-11-09 08:18:07.620009+00,2025-11-09 08:18:07.620026+00,71,[],
0d329297-62a3-475c-8c99-4dbbd4a483f2,Delhi Tranquil Towers,delhi-tranquil-towers,"Experience luxury living at Delhi Tranquil Towers, a premium residential project in Delhi. Featuring modern architecture, world-class amenities, and excellent connectivity.",residential,upcoming,"Plot No. 45, Sector 21, Delhi",Delhi,Delhi,408499,28.746905,77.171469,17179871.00,66,35,https://images.unsplash.com/photo-1600563438938-a650c6f43f20?w=800,"[""https://images.unsplash.com/photo-1600585154340-be6161a56a0c?w=800"",""https://images.unsplash.com/photo-1600585154526-990dced4db0d?w=800"",""https://images.unsplash.com/photo-1613977257363-707ba9348227?w=800"",""https://images.unsplash.com/photo-1600563438938-a650c6f43f20?w=800""]",,2025-07-04,2027-10-31,,19,65868.00,"[""Gym"",""Amphitheater"",""Tennis Court"",""Kids Play Area"",""Swimming Pool"",""Squash Court"",""Party Hall""]",,false,69.99,99,0,,,2025-11-09 08:13:58.355936+00,2025-11-09 08:13:58.355972+00,73,[],
0dbacfa6-c425-4f95-829d-bc7e76a008d6,Indiranagar Palazzo,indiranagar-palazzo,"Experience luxury living at Indiranagar Palazzo, a premium residential project in Bangalore. Featuring modern architecture, world-class amenities, and excellent connectivity.",residential,upcoming,"Plot No. 14, Sector 18, Bangalore",Bangalore,Karnataka,437765,12.912707,77.569869,12186336.00,118,74,https://images.unsplash.com/photo-1600573472591-ee6b68d14c68?w=800,"[""https://images.unsplash.com/photo-1600607687644-c7171b42498b?w=800"",""https://images.unsplash.com/photo-1600563438938-a650c6f43f20?w=800"",""https://images.unsplash.com/photo-1600047509807-ba8f99d2cdde?w=800"",""https://images.unsplash.com/photo-1600566753086-00f18fb6b3ea?w=800""]",,2025-01-05,2027-05-17,,15,94872.00,"[""Indoor Games"",""Landscaped Gardens"",""Security"",""Sauna"",""Party Hall"",""Tennis Court"",""Swimming Pool""]",,false,54.71,180,0,,,2025-11-09 08:13:44.624332+00,2025-11-09 08:13:44.624363+00,76,[],
0e2e4d93-1707-4e6a-ada7-12f4ef983e25,Royal Towers,royal-towers,"Experience luxury living at Royal Towers, a premium residential project in Hyderabad. Featuring modern architecture, world-class amenities, and excellent connectivity.",residential,upcoming,"Plot No. 95, Sector 50, Hyderabad",Hyderabad,Telangana,416031,17.355816,78.453891,5591930.00,134,71,https://images.unsplash.com/photo-1600210492493-0946911123ea?w=800,"[""https://images.unsplash.com/photo-1599809275671-b5942cabc7a2?w=800"",""https://images.unsplash.com/photo-1600573472550-8090b5e0745e?w=800"",""https://images.unsplash.com/photo-1600566753190-17f0baa2a6c3?w=800""]",,2024-07-28,2025-08-22,,22,188404.00,"[""Spa"",""Party Hall"",""Landscaped Gardens"",""Parking"",""Power Backup"",""Swimming Pool"",""Kids Play Area"",""Security"",""Squash Court"",""Jogging Track"",""Yoga Room"",""Gym""]",,false,70.44,372,0,,,2025-11-09 08:14:07.075939+00,2025-11-09 08:14:07.07597+00,71,[],
12d579f6-9147-4108-9754-ba5366413c5e,Tranquil Homes,tranquil-homes,"Experience luxury living at Tranquil Homes, a premium residential project in Delhi. Featuring modern architecture, world-class amenities, and excellent connectivity.",residential,upcoming,"Plot No. 42, Sector 1, Delhi",Delhi,Delhi,416599,28.747376,77.005812,12471017.00,284,164,https://images.unsplash.com/photo-1600566753086-00f18fb6b3ea?w=800,"[""https://images.unsplash.com/photo-1600607687644-c7171b42498b?w=800"",""https://images.unsplash.com/photo-1600047509807-ba8f99d2cdde?w=800"",""https://images.unsplash.com/photo-1613977257363-707ba9348227?w=800"",""https://images.unsplash.com/photo-1600566753190-17f0baa2a6c3?w=800"",""https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?w=800""]",,2025-10-22,2028-05-30,,19,335160.00,"[""Spa"",""Clubhouse"",""Kids Play Area"",""Yoga Room"",""Gym"",""Amphitheater""]",,false,75.75,93,0,,,2025-11-09 08:14:00.048325+00,2025-11-09 08:14:00.048356+00,73,[],
15757230-6964-46ea-9154-750d1fbc9ef8,Bangalore Silver Horizon,bangalore-silver-horizon,"Experience luxury living at Bangalore Silver Horizon, a premium residential project in Bangalore. Featuring modern architecture, world-class amenities, and excellent connectivity.",residential,ongoing,"Plot No. 55, Sector 47, Bangalore",Bangalore,Karnataka,409805,12.953607,77.497436,7022483.00,266,170,https://images.unsplash.com/photo-1599809275671-b5942cabc7a2?w=800,"[""https://images.unsplash.com/photo-1600585154340-be6161a56a0c?w=800"",""https://images.unsplash.com/photo-1599809275671-b5942cabc7a2?w=800"",""https://images.unsplash.com/photo-1600210492493-0946911123ea?w=800"",""https://images.unsplash.com/photo-1600585154526-990dced4db0d?w=800"",""https://images.unsplash.com/photo-1600563438938-a650c6f43f20?w=800""]",,2025-04-16,2026-04-16,,11,396606.00,"[""Swimming Pool"",""Spa"",""Tennis Court"",""Parking"",""Indoor Games"",""Security"",""Amphitheater"",""Sauna"",""Gym"",""Party Hall""]",,true,50.87,346,0,,,2025-11-09 08:13:48.544737+00,2025-11-09 08:13:48.54477+00,75,[],
1b21c30b-ed04-4724-8fd1-c48a0c758727,Elite Towers Phase 14,elite-towers-phase-14-66,"Elite Towers Phase 14 offers premium living with modern amenities in Hinjewadi, Pune. Experience luxury and comfort at its best.",residential,ongoing,"Plot No. 113, Sector 41, Hinjewadi, Pune",Pune,Maharashtra,499397,18.479025,73.815339,4966300.00,8,8,https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?w=800,"[""https://images.unsplash.com/photo-1600573472550-8090b5e0745e?w=800"",""https://images.unsplash.com/photo-1613977257363-707ba9348227?w=800"",""https://images.unsplash.com/photo-1600573472591-ee6b68d14c68?w=800""]",,2025-05-15,2026-07-30,,8,97942.00,"[""24/7 Security"",""Lift"",""Parking"",""Gym"",""Power Backup"",""Kids Play Area"",""Clubhouse"",""Landscaped Gardens""]",,true,81.00,0,0,,,2025-11-09 08:19:50.190565+00,2025-11-09 08:19:50.190573+00,74,[],
1b97410b-5558-45e5-b4c6-1497704d3560,Premium Enclave Phase 3,premium-enclave-phase-3-55,"Premium Enclave Phase 3 offers premium living with modern amenities in Powai, Mumbai. Experience luxury and comfort at its best.",residential,upcoming,"Plot No. 102, Sector 50, Powai, Mumbai",Mumbai,Maharashtra,476795,19.111976,72.842049,4232103.00,6,6,https://images.unsplash.com/photo-1512917774080-9991f1c4c750?w=800,"[""https://images.unsplash.com/photo-1600607687644-c7171b42498b?w=800"",""https://images.unsplash.com/photo-1600563438938-a650c6f43f20?w=800"",""https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?w=800"",""https://images.unsplash.com/photo-1600573472550-8090b5e0745e?w=800"",""https://images.unsplash.com/photo-1600566753190-17f0baa2a6c3?w=800""]",,2024-07-19,2027-07-27,,6,189850.00,"[""Swimming Pool"",""Power Backup"",""Clubhouse"",""Lift"",""Parking"",""Landscaped Gardens"",""Kids Play Area"",""24/7 Security""]",,true,86.00,0,0,,,2025-11-09 08:19:38.741564+00,2025-11-09 08:19:38.741581+00,73,[],
1d2b6321-c681-458d-8fa8-9c8e7a94af11,Golden Court,golden-court,"Experience luxury living at Golden Court, a premium residential project in Pune. Featuring modern architecture, world-class amenities, and excellent connectivity.",residential,ongoing,"Plot No. 83, Sector 37, Pune",Pune,Maharashtra,485100,18.527164,73.871455,11775248.00,273,160,https://images.unsplash.com/photo-1600607687920-4e2a09cf159d?w=800,"[""https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?w=800"",""https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?w=800"",""https://images.unsplash.com/photo-1600563438938-a650c6f43f20?w=800""]",,2024-04-05,2025-10-18,,5,262353.00,"[""Tennis Court"",""Party Hall"",""Amphitheater"",""Yoga Room"",""Jogging Track"",""Clubhouse"",""Spa"",""Power Backup"",""Swimming Pool"",""Kids Play Area""]",,false,74.09,270,0,,,2025-11-09 08:13:39.726274+00,2025-11-09 08:13:39.726305+00,77,[],
