id,company_name,rera_number,verified,trust_score,description,logo,website,established_year,total_projects,completed_projects,created_at,updated_at,user_id
71,Prestige Estates,RERA/PRESTIGE.BUILDER/2024/001,true,4.50,Prestige Estates is a leading real estate developer known for quality construction and timely delivery.,,,2000,10,4,2025-11-09 08:12:43.219365+00,2025-11-09 08:20:00.844107+00,3c8196a3-cf78-4bc4-b353-137a0abaca27
72,Godrej Properties,RERA/GODREJ.BUILDER/2024/001,true,4.50,Godrej Properties is a leading real estate developer known for quality construction and timely delivery.,,,2001,8,4,2025-11-09 08:12:43.675901+00,2025-11-09 08:20:01.24498+00,bd3cab5e-fa7c-4e8f-96c3-f66c152aac06
73,Brigade Group,RERA/BRIGADE.BUILDER/2024/001,true,4.50,Brigade Group is a leading real estate developer known for quality construction and timely delivery.,,,2002,8,1,2025-11-09 08:12:44.128531+00,2025-11-09 08:20:01.648876+00,734ff615-4161-43ff-8532-23f7c9c36267
74,Sobha Limited,RERA/SOBHA.BUILDER/2024/001,true,4.50,Sobha Limited is a leading real estate developer known for quality construction and timely delivery.,,,2003,7,4,2025-11-09 08:12:44.584363+00,2025-11-09 08:20:02.048775+00,08636e18-e4b4-48e8-9176-c15972916db3
75,Puravankara Limited,RERA/PURAVANKARA.BUILDER/2024/001,true,4.50,Puravankara Limited is a leading real estate developer known for quality construction and timely delivery.,,,2004,7,2,2025-11-09 08:12:45.039132+00,2025-11-09 08:20:02.449459+00,9d58f7e1-6f81-4c75-9949-ea663a0239b5
76,Embassy Group,RERA/EMBASSY.BUILDER/2024/001,true,4.50,Embassy Group is a leading real estate developer known for quality construction and timely delivery.,,,2005,7,2,2025-11-09 08:12:45.485959+00,2025-11-09 08:20:02.853518+00,198eafde-c1ec-4042-a055-b625d2cc4321
77,Mantri Developers,RERA/MANTRI.BUILDER/2024/001,true,4.50,Mantri Developers is a leading real estate developer known for quality construction and timely delivery.,,,2006,7,3,2025-11-09 08:12:45.936453+00,2025-11-09 08:20:03.253877+00,b225f8f7-d1c7-4f2c-84f5-445e52c0e854
78,Shriram Properties,RERA/SHRIRAM.BUILDER/2024/001,true,4.50,Shriram Properties is a leading real estate developer known for quality construction and timely delivery.,,,2007,7,3,2025-11-09 08:12:46.392286+00,2025-11-09 08:20:03.655427+00,f564604e-0144-41a3-92e5-f438d0402453
79,Mahindra Lifespaces,RERA/MAHINDRA.BUILDER/2024/001,true,4.50,Mahindra Lifespaces is a leading real estate developer known for quality construction and timely delivery.,,,2008,7,4,2025-11-09 08:12:46.874815+00,2025-11-09 08:20:04.057808+00,f4ee7b4b-22ba-46e2-bbc9-86be2bf96fb9
80,L&T Realty,RERA/LNT.BUILDER/2024/001,true,4.50,L&T Realty is a leading real estate developer known for quality construction and timely delivery.,,,2009,7,4,2025-11-09 08:12:47.325405+00,2025-11-09 08:20:04.473822+00,31a83937-b1f2-4fcf-9275-af35c1cc564b
